,Unnamed: 0,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread,pre-drug leak magnitude,post-drug leak magnitude
17,17,E12,1,staircaseramp1,415634800.0,2.103473e-11,15963690.0,3.3304862996378413,-24.853358197772707,2.809670706793551,-26.59026969642092,0.1141423067975447,True,-95.70878371747396,-93.18690930288588,-89.35838803490594,True,True,True,True,10543709.403058812,506.2105339794556,84.36916932787868,133.75071163213735,-799.6225163623174,True,False,True,0.2961140008859075,95.29181848310805,87.28560518540354
19,19,F11,1,staircaseramp1,233879000.0,1.285942e-11,12391250.0,5.646966058563479,-20.1759885474694,5.126389906092156,-23.033209666804822,0.2347042233957885,True,-95.2549911092833,-91.35572226880042,-95.75297036872304,True,True,True,True,8168555.247917427,582.5908996398043,83.98333644018962,114.51639770811946,-693.8221333150586,True,True,True,1.2139499315516105,125.6654440749303,118.70159251602578
21,21,G03,1,staircaseramp1,166572700.0,2.684077e-11,18291790.0,7.93277598214927,-20.3924232406912,7.933391749736238,-25.011773180167328,0.3026179758819849,True,-96.30283576726536,-88.35740562023535,,True,True,True,True,11626157.582467454,767.7110640390138,66.82675961247104,126.07711234312254,-676.236278580242,True,False,True,4.686539716775897,148.83122741083253,147.02911142068743
23,23,I22,1,staircaseramp1,5611533000.0,4.617039e-11,10291880.0,0.3373581813922751,-34.85056779091396,0.6528812844616092,-42.41217884910218,0.1850057695103213,True,-95.64618102769174,-95.33848237822625,-88.9235102954531,True,True,True,True,8720619.501934744,398.2430173940346,48.61854190346712,100.74008044898068,-734.732494324214,True,True,True,1.555895992706667,30.311787405465395,43.166697632329516
25,25,J04,1,staircaseramp1,4063836000.0,1.777413e-11,9943500.0,0.7940475442828974,-58.81570042829826,0.5747874479606527,-58.97572348863167,0.0611845899826609,True,-94.7903881147178,-94.1634133576622,-74.63924003874429,True,True,True,True,7687427.689677075,329.90197102509944,57.87571727484261,127.52219892256836,-781.883626932968,True,True,True,2.023900619510627,52.94583508731986,45.105580249080305
27,27,J22,1,staircaseramp1,803180800.0,4.491185e-11,17027580.0,2.118293258540392,-35.356493488901364,0.7551883929209274,-31.59714391834476,0.0157082826921757,True,-95.30727525152165,-94.88593705316968,-75.9397270332692,True,True,True,True,22589238.285499,5000.0,145.59831314555166,152.9477557509694,-1011.4029775636378,True,False,True,1.690094724904938,76.02742870758938,45.17670912447605
29,29,K04,1,staircaseramp1,800120100.0,1.168071e-11,10750390.0,1.7717143981187955,-23.69949071152101,1.115729612500073,-41.23581719167209,0.1861115925869914,True,-91.61537460778597,-89.05837818183024,-91.6066823930218,True,True,True,True,4459085.208543377,370.6037373300104,60.65028108173428,113.35002212707958,-493.55404295996607,True,False,True,2.00758931045253,69.67036377825676,56.154462540662266
31,31,K15,1,staircaseramp1,2227744000.0,1.782271e-11,17100680.0,1.107298084991155,-52.93115446027925,0.7309554799098944,-36.101531315729375,0.0596695216938841,True,-93.69308115615378,-92.86401334535272,-71.06448693643114,True,True,True,True,8357724.252955614,5000.0,101.6082675572024,116.52626582987432,-642.6994306558689,True,False,True,2.019269702779823,59.765910585625065,44.730216930240914
33,33,K21,1,staircaseramp1,239253500.0,1.995085e-11,16911910.0,5.911933835846668,-25.074749041531454,4.43514574904465,-18.84353027719609,0.1146868888005215,True,-92.62503037440494,-88.64037536361148,,True,True,True,True,33426243.318726085,2244.443743077224,273.8115920481613,273.81160134758056,-990.7605658355664,True,False,True,3.806122466210255,126.90797304053272,111.92373294032649
35,35,L14,1,staircaseramp1,842386600.0,1.311164e-11,12457360.0,1.7601366492042745,-31.52027812158818,1.6300344672177849,-26.66773128897595,0.1115059112670751,True,-94.45626769408224,-91.38802332828746,,True,True,True,True,6906225.191793109,500.2419836672488,68.71089007286511,124.39714316643524,-691.7367290682148,True,True,True,2.0859529326942408,68.96692729764965,66.47701097579026
37,37,L19,1,staircaseramp1,5205740000.0,1.022436e-11,8626349.0,0.5658174579393778,-54.3810646619396,0.4675033886897905,-46.99928204577467,0.0867426349845597,True,-94.15669909442614,-92.66185609961828,-89.17639430943956,True,True,True,True,3877221.4976819726,228.28436430751955,48.90713726527575,101.68749272894811,-506.627999230712,True,True,True,1.839870841340698,43.17464047978586,37.381228137524204
39,39,M22,1,staircaseramp1,333763200.0,1.678131e-11,11277810.0,4.108416684369033,-23.029920690894357,3.334123608206593,-28.98412061448204,0.081440225842701,True,-92.80292788214577,-90.66017329321564,-93.2514726138641,True,True,True,True,13528925.431770835,395.66132963854506,66.09334929385012,122.06253626614654,-1013.1847936478796,True,False,True,2.019447771251336,106.26532910625995,94.8977059477722
41,41,M23,1,staircaseramp1,3620084000.0,3.28206e-11,12325420.0,1.4403254209735563,-61.37296878215805,1.3404904841899594,-44.32544306071035,0.0478238237362357,True,-93.56285319325733,-93.51160654229598,-96.1122984586736,True,True,True,True,14201011.987368438,1274.38001523497,128.57002193135,174.4964827312288,-1017.1724287074125,True,True,True,3.369986577158869,72.84598754636184,62.40526829491698
43,43,N05,1,staircaseramp1,5525391000.0,2.049877e-11,11192810.0,1.2865918947608357,-71.56134087537829,0.655637815986635,-62.35818359560201,0.0338210259196262,True,-93.15699771604248,-92.71446021687026,-100.21476739858409,True,True,True,True,18927806.96273546,565.3672976192921,91.30292944370773,147.12454481718132,-1139.1424471758523,True,True,True,2.1527559144682726,75.47308303981528,49.56519968253755
45,45,N22,1,staircaseramp1,186428300.0,1.605979e-11,18629500.0,6.255236754506992,-13.241513189004548,4.399443145323025,-26.523709667477878,0.2120547405334892,True,-93.26096156577168,-82.7065561846337,-118.93517587158948,True,True,True,True,11565260.8396681,5000.0,54.24303481717145,60.64799020427812,-634.0279761911597,True,False,True,1.5088625359572632,136.55000170102136,109.23214718526575
47,47,P02,1,staircaseramp1,1548604000.0,9.629062e-12,6518040.0,1.1729726669942144,-31.162243618108818,1.5279484656654168,-36.35060933947638,0.1008375707880142,True,-93.61261076570982,-92.80344612926709,-95.91659556712705,True,True,True,True,5413320.472509508,635.1632004881087,57.5741139322424,149.20535286274406,-626.9196447960188,True,False,True,3.0244735117433947,56.29041360977839,64.70767639214127
